id_departamento,grupo_etario,cantidad
18112,0-5,4116
18112,6-12,4648
18112,12-18,5272
18112,>18,31565
18119,0-5,5442
18119,6-12,6353
18119,12-18,7503
18119,>18,37479
18126,0-5,2703
18126,6-12,3024
18126,12-18,3676
18126,>18,19721
18133,0-5,1633
18133,6-12,1882
18133,12-18,2017
18133,>18,14146
18140,0-5,1862
18140,6-12,2025
18140,12-18,2496
18140,>18,14997
18147,0-5,1512
18147,6-12,1702
18147,12-18,1972
18147,>18,9976
18154,0-5,1287
18154,6-12,1498
18154,12-18,1740
18154,>18,8173
18161,0-5,2171
18161,6-12,2315
18161,12-18,2767
18161,>18,15428
18168,0-5,6984
18168,6-12,8046
18168,12-18,9133
18168,>18,47758
18175,0-5,922
18175,6-12,1061
18175,12-18,1304
18175,>18,7094
22007,0-5,4089
22007,6-12,4305
22007,12-18,5388
22007,>18,24011
22014,0-5,2560
22014,6-12,2968
22014,12-18,3256
22014,>18,19275
22021,0-5,8579
22021,6-12,10417
22021,12-18,12481
22021,>18,69608
22028,0-5,3114
22028,6-12,3571
22028,12-18,3737
22028,>18,24069
22036,0-5,2262
22036,6-12,2450
22036,12-18,2724
22036,>18,15741
22039,0-5,745
22039,6-12,783
22039,12-18,880
22039,>18,5901
22043,0-5,968
22043,6-12,1106
22043,12-18,1238
22043,>18,7329
22049,0-5,1411
22049,6-12,1466
22049,12-18,1702
22049,>18,8227
22056,0-5,1285
22056,6-12,1538
22056,12-18,1769
22056,>18,10467
22063,0-5,6921
22063,6-12,8259
22063,12-18,8792
22063,>18,44456
22070,0-5,2318
22070,6-12,2577
22070,12-18,3219
22070,>18,13833
22077,0-5,1282
22077,6-12,1476
22077,12-18,1563
22077,>18,9453
22084,0-5,6514
22084,6-12,7273
22084,12-18,8036
22084,>18,43480
22091,0-5,2701
22091,6-12,3024
22091,12-18,3220
22091,>18,17408
22098,0-5,5880
22098,6-12,6579
22098,12-18,6893
22098,>18,40445
22105,0-5,2987
22105,6-12,3073
22105,12-18,3552
22105,>18,20610
22112,0-5,2090
22112,6-12,2597
22112,12-18,2996
22112,>18,13860
22119,0-5,1353
22119,6-12,1578
22119,12-18,1785
22119,>18,9221
22126,0-5,1360
22126,6-12,1577
22126,12-18,1495
22126,>18,9831
22133,0-5,3168
22133,6-12,3266
22133,12-18,4092
22133,>18,21903
22140,0-5,31821
22140,6-12,38963
22140,12-18,43342
22140,>18,299637
22147,0-5,1707
22147,6-12,1818
22147,12-18,1995
22147,>18,10524
22154,0-5,1769
22154,6-12,1978
22154,12-18,2220
22154,>18,12728
22161,0-5,394
22161,6-12,437
22161,12-18,510
22161,>18,2709
22168,0-5,3301
22168,6-12,3902
22168,12-18,4429
22168,>18,20973
26007,0-5,8111
26007,6-12,10375
26007,12-18,12276
26007,>18,72041
26014,0-5,2022
26014,6-12,2754
26014,12-18,3172
26014,>18,20150
26021,0-5,16668
26021,6-12,21521
26021,12-18,23941
26021,>18,152698
26028,0-5,175
26028,6-12,189
26028,12-18,189
26028,>18,1228
26035,0-5,3522
26035,6-12,4856
26035,12-18,5502
26035,>18,36084
26042,0-5,998
26042,6-12,1179
26042,12-18,1461
26042,>18,8865
26049,0-5,83
26049,6-12,90
26049,12-18,115
26049,>18,890
26056,0-5,236
26056,6-12,257
26056,12-18,309
26056,>18,2058
26063,0-5,64
26063,6-12,60
26063,12-18,68
26063,>18,551
26070,0-5,137
26070,6-12,160
26070,12-18,178
26070,>18,1406
26077,0-5,10491
26077,6-12,13418
26077,12-18,15650
26077,>18,104859
26084,0-5,565
26084,6-12,638
26084,12-18,625
26084,>18,4517
26091,0-5,1344
26091,6-12,1701
26091,12-18,1804
26091,>18,9626
26098,0-5,464
26098,6-12,643
26098,12-18,657
26098,>18,4182
26105,0-5,117
26105,6-12,144
26105,12-18,174
26105,>18,1172
30008,0-5,5907
30008,6-12,6990
30008,12-18,7913
30008,>18,54078
30015,0-5,17901
30015,6-12,21468
30015,12-18,23202
30015,>18,135031
30021,0-5,3847
30021,6-12,4458
30021,12-18,5162
30021,>18,38843
30028,0-5,6876
30028,6-12,7982
30028,12-18,8706
30028,>18,54699
30035,0-5,2629
30035,6-12,2860
30035,12-18,3251
30035,>18,20695
30042,0-5,1461
30042,6-12,1726
30042,12-18,2028
30042,>18,11501
30049,0-5,4529
30049,6-12,5466
30049,12-18,6180
30049,>18,40620
30056,0-5,9410
30056,6-12,11769
30056,12-18,13659
30056,>18,90337
30063,0-5,1271
30063,6-12,1534
30063,12-18,1747
30063,>18,9431
30070,0-5,6549
30070,6-12,7842
30070,12-18,8762
30070,>18,52117
30077,0-5,3364
30077,6-12,4082
30077,12-18,4610
30077,>18,30897
30084,0-5,27975
30084,6-12,35139
30084,12-18,39844
30084,>18,285757
30088,0-5,1743
30088,6-12,2142
30088,12-18,2515
30088,>18,14384
30091,0-5,2477
30091,6-12,3068
30091,12-18,3496
30091,>18,22049
30098,0-5,8632
30098,6-12,10712
30098,12-18,12820
30098,>18,83351
30105,0-5,3123
30105,6-12,3601
30105,12-18,4287
30105,>18,29289
30113,0-5,4679
30113,6-12,5389
30113,12-18,6314
30113,>18,38900
34007,0-5,1763
34007,6-12,2028
34007,12-18,2207
34007,>18,9600
34014,0-5,21127
34014,6-12,26493
34014,12-18,30652
34014,>18,190299
34021,0-5,1725
34021,6-12,2095
34021,12-18,2631
34021,>18,12823
34028,0-5,1918
34028,6-12,2143
34028,12-18,2420
34028,>18,10535
34035,0-5,8070
34035,6-12,9940
34035,12-18,10400
34035,>18,53189
34042,0-5,1864
34042,6-12,2181
34042,12-18,2467
34042,>18,12576
34049,0-5,8934
34049,6-12,10260
34049,12-18,11076
34049,>18,63845
34056,0-5,6830
34056,6-12,8111
34056,12-18,9246
34056,>18,48372
34063,0-5,2421
34063,6-12,2783
34063,12-18,3034
34063,>18,9439
38007,0-5,1322
38007,6-12,1685
38007,12-18,2099
38007,>18,9891
38014,0-5,11018
38014,6-12,13356
38014,12-18,15219
38014,>18,82665
38021,0-5,23048
38021,6-12,31256
38021,12-18,34888
38021,>18,230276
38028,0-5,1752
38028,6-12,2442
38028,12-18,2816
38028,>18,13866
38035,0-5,8147
38035,6-12,9746
38035,12-18,11270
38035,>18,64968
38042,0-5,4800
38042,6-12,6551
38042,12-18,7631
38042,>18,46539
38049,0-5,170
38049,6-12,241
38049,12-18,238
38049,>18,1145
38056,0-5,539
38056,6-12,699
38056,12-18,738
38056,>18,4752
38063,0-5,7205
38063,6-12,9254
38063,12-18,10031
38063,>18,61745
38070,0-5,1905
38070,6-12,2399
38070,12-18,2601
38070,>18,13591
38077,0-5,282
38077,6-12,302
38077,12-18,352
38077,>18,1704
38084,0-5,439
38084,6-12,527
38084,12-18,560
38084,>18,2439
38094,0-5,1063
38094,6-12,1549
38094,12-18,1803
38094,>18,10205
38098,0-5,375
38098,6-12,534
38098,12-18,565
38098,>18,3823
38105,0-5,194
38105,6-12,276
38105,12-18,329
38105,>18,1690
38112,0-5,2367
38112,6-12,2773
38112,12-18,3272
38112,>18,17416
42007,0-5,769
42007,6-12,980
42007,12-18,1168
42007,>18,8132
42014,0-5,194
42014,6-12,272
42014,12-18,336
42014,>18,1808
42021,0-5,8258
42021,6-12,11128
42021,12-18,12701
42021,>18,86416
42028,0-5,648
42028,6-12,880
42028,12-18,933
42028,>18,5762
42035,0-5,1023
42035,6-12,1345
42035,12-18,1449
42035,>18,11276
42042,0-5,99
42042,6-12,100
42042,12-18,115
42042,>18,788
42049,0-5,201
42049,6-12,305
42049,12-18,319
42049,>18,2042
42056,0-5,960
42056,6-12,1149
42056,12-18,1340
42056,>18,8827
42063,0-5,110
42063,6-12,150
42063,12-18,193
42063,>18,1007
42070,0-5,690
42070,6-12,756
42070,12-18,965
42070,>18,6985
42077,0-5,486
42077,6-12,590
42077,12-18,720
42077,>18,5916
42084,0-5,39
42084,6-12,46
42084,12-18,50
42084,>18,292
42091,0-5,33
42091,6-12,42
42091,12-18,28
42091,>18,309
42098,0-5,647
42098,6-12,835
42098,12-18,1016
42098,>18,6742
42105,0-5,5292
42105,6-12,6549
42105,12-18,7418
42105,>18,49807
42112,0-5,1095
42112,6-12,1350
42112,12-18,1404
42112,>18,7786
42119,0-5,600
42119,6-12,699
42119,12-18,933
42119,>18,6171
42126,0-5,853
42126,6-12,1070
42126,12-18,1375
42126,>18,7791
42133,0-5,1232
42133,6-12,1651
42133,12-18,1945
42133,>18,12527
42140,0-5,1540
42140,6-12,2073
42140,12-18,2136
42140,>18,12176
42147,0-5,435
42147,6-12,506
42147,12-18,569
42147,>18,4126
42154,0-5,1321
42154,6-12,1797
42154,12-18,1955
42154,>18,12612
46007,0-5,1353
46007,6-12,1645
46007,12-18,1863
46007,>18,11388
46014,0-5,15697
46014,6-12,19946
46014,12-18,23880
46014,>18,150983
46021,0-5,409
46021,6-12,538
46021,12-18,599
46021,>18,4263
46028,0-5,829
46028,6-12,1078
46028,12-18,1172
46028,>18,8291
46035,0-5,1307
46035,6-12,1360
46035,12-18,1701
46035,>18,11261
46042,0-5,4579
46042,6-12,6019
46042,12-18,7421
46042,>18,40661
46049,0-5,479
46049,6-12,664
46049,12-18,804
46049,>18,5036
46056,0-5,255
46056,6-12,333
46056,12-18,355
46056,>18,2240
46063,0-5,621
46063,6-12,677
46063,12-18,835
46063,>18,5481
46070,0-5,337
46070,6-12,362
46070,12-18,461
46070,>18,2852
46077,0-5,158
46077,6-12,164
46077,12-18,214
46077,>18,1348
46084,0-5,567
46084,6-12,656
46084,12-18,805
46084,>18,5317
46091,0-5,394
46091,6-12,538
46091,12-18,655
46091,>18,3429
46098,0-5,224
46098,6-12,246
46098,12-18,305
46098,>18,1919
46105,0-5,209
46105,6-12,241
46105,12-18,307
46105,>18,1641
46112,0-5,1310
46112,6-12,1652
46112,12-18,1864
46112,>18,10937
46119,0-5,345
46119,6-12,429
46119,12-18,494
46119,>18,3037
46126,0-5,230
46126,6-12,317
46126,12-18,314
46126,>18,2131
50007,0-5,8283
50007,6-12,9891
50007,12-18,11066
50007,>18,94474
50014,0-5,4069
50014,6-12,5385
50014,12-18,5721
50014,>18,37203
50021,0-5,13392
50021,6-12,16942
50021,12-18,19597
50021,>18,144625
50028,0-5,25349
50028,6-12,31776
50028,12-18,35018
50028,>18,228727
50035,0-5,3662
50035,6-12,4550
50035,12-18,5068
50035,>18,33190
50042,0-5,1018
50042,6-12,1305
50042,12-18,1302
50042,>18,8392
50049,0-5,19700
50049,6-12,24827
50049,12-18,27850
50049,>18,161461
50056,0-5,4526
50056,6-12,5749
50056,12-18,5944
50056,>18,30866
50063,0-5,13914
50063,6-12,17898
50063,12-18,20387
50063,>18,119683
50070,0-5,18163
50070,6-12,22679
50070,12-18,25291
50070,>18,152753
50077,0-5,2811
50077,6-12,3700
50077,12-18,4071
50077,>18,22012
50084,0-5,5261
50084,6-12,6608
50084,12-18,7111
50084,>18,44608
50091,0-5,3475
50091,6-12,4334
50091,12-18,4793
50091,>18,27148
50098,0-5,11642
50098,6-12,14861
50098,12-18,15658
50098,>18,97243
50105,0-5,17237
50105,6-12,21325
50105,12-18,23389
50105,>18,151252
50112,0-5,1765
50112,6-12,2143
50112,12-18,2263
50112,>18,13206
50119,0-5,5158
50119,6-12,6688
50119,12-18,7298
50119,>18,40826
50126,0-5,3810
50126,6-12,4851
50126,12-18,5315
50126,>18,27191
54007,0-5,5262
54007,6-12,5788
54007,12-18,6448
54007,>18,33004
54014,0-5,6425
54014,6-12,7497
54014,12-18,8031
54014,>18,37921
54021,0-5,3758
54021,6-12,4296
54021,12-18,4620
54021,>18,22270
54028,0-5,33142
54028,6-12,40783
54028,12-18,44373
54028,>18,273199
54035,0-5,1087
54035,6-12,1156
54035,12-18,1380
54035,>18,6679
